row,id
1545,10701
1546,31821
1547,46500
1548,59227
1549,17460
1550,46530
1551,21481
1552,29432
1553,25609
1554,33876
1555,29446
1556,26343
1557,54679
1558,43179
1559,25333
1560,10698
1561,29509
1562,30096
1563,45003
1564,56681
1565,45264
1566,32299
1567,32336
1568,37322
1569,51641
1570,37315
1571,45885
1572,45035
1573,40559
1574,10105
1575,29920
1576,53585
1577,51537
1578,17455
1579,37472
1580,49327
1581,22942
1582,11179
1583,23287
1584,49516
1585,25645
1586,45189
1587,10585
1588,28430
1589,45113
1590,40547
1591,31826
1592,45259
1593,51627
1594,40502
1595,40560
1596,29907
1597,45263
1598,41035
1599,19261
1600,29977
1601,54677
1602,30013
1603,45127
1604,36769
1605,59222
1606,43204
1607,38030
1608,49901
1609,45151
1610,45192
1611,10702
1612,40515
1613,37307
1614,53601
1615,43189
1616,56324
1617,11001
1618,24487
1619,59236
1620,45199
1621,16778
1622,45000
1623,19260
1624,17426
1625,45250
1626,46425
1627,11211
1628,29519
1629,45206
1630,45925
1631,40553
1632,46420
1633,33900
1634,40522
1635,45145
1636,59262
1637,25325
1638,28580
1639,10393
1640,16781
1641,32355
1642,29988
1643,45155
1644,11136
1645,46562
1646,29497
1647,43194
1648,56678
1649,49907
1650,49879
1651,51517
1652,48021
1653,46739
1654,21679
1655,49874
